phenotype,peak_value,lower_bound,upper_bound,n_patients
sildenafil__mean_dose,83756.7920585162,79363.28805294323,91665.09926854755,104
sildenafil__mean_dose,99573.4064785789,91665.09926854755,177777.77777777778,2047
paroxetine__mean_dose,19786.565733457388,2539.6825396825398,63055.0621669627,2307
morphine__mean_dose,8258.54588097332,2222.222222222222,404643.7994722955,2156
aspirin__mean_dose,73422.41379310345,15517.241379310344,187088.12260536395,16127
aspirin__mean_dose,300753.8314176245,187088.12260536395,444444.44444444444,883
diamorphine__mean_dose,4959.7051597051595,1081.081081081081,7545.454545454546,115
diamorphine__mean_dose,10131.203931203932,7545.454545454546,87272.72727272728,98
cyclizine__mean_dose,50957.7620967742,10752.68817204301,206875.0,4106
telmisartan__mean_dose,40038.793103448275,5000.0,132413.7931034483,64
clomipramine__mean_dose,10434.107949372512,6935.4838709677415,17431.35610618205,208
clomipramine__mean_dose,24428.60426299159,17431.35610618205,240177.0890979524,109
duloxetine__mean_dose,20065.18980704698,11275.167785234898,24859.747273489935,257
duloxetine__mean_dose,29654.304739932886,24859.747273489935,34448.86220637584,328
duloxetine__mean_dose,39243.419672818796,34448.86220637584,49631.62751677853,133
duloxetine__mean_dose,60019.83536073826,49631.62751677853,171093.75,292
betahistine__mean_dose,8271.878522520845,4033.6134453781515,10228.000865817472,4538
betahistine__mean_dose,12184.1232091141,10228.000865817472,14140.245552410728,287
betahistine__mean_dose,16096.367895707355,14140.245552410728,69237.69155526573,3959
tramadol__mean_dose,47983.98302148303,20192.30769230769,73249.14241164242,14341
tramadol__mean_dose,98514.3018018018,73249.14241164242,525495.4954954955,1166
felodipine__mean_dose,2511.716419540104,1217.391304347826,3706.478064332977,786
felodipine__mean_dose,4901.239709125849,3706.478064332977,7489.889939510405,766
felodipine__mean_dose,10078.540169894963,7489.889939510405,21130.08538422903,163
chlortalidone__mean_dose,11985.289179843203,5534.883720930233,18435.694638756173,292
chlortalidone__mean_dose,24886.100097669143,18435.694638756173,37200.510519230265,155
chlortalidone__mean_dose,49514.92094079139,37200.510519230265,122814.9829738933,63
nebivolol__mean_dose,5006.017189681205,1193.1818181818182,11933.563146349106,130
propranolol__mean_dose,10834.225393993456,3050.8474576271187,24844.305679452867,2356
propranolol__mean_dose,38854.385964912275,24844.305679452867,59091.168599464756,3219
propranolol__mean_dose,79327.95123401724,59091.168599464756,119801.5165031222,2600
propranolol__mean_dose,160275.08177222716,119801.5165031222,314385.9649122807,110
spironolactone__mean_dose,23855.43048580379,9886.587771203156,36554.378408168006,634
spironolactone__mean_dose,49253.32633053222,36554.378408168006,74651.22217526063,136
spironolactone__mean_dose,100049.11801998905,74651.22217526063,263865.5462184874,79
rivaroxaban__mean_dose,10118.68686868687,3818.181818181818,12638.888888888889,90
rivaroxaban__mean_dose,15159.090909090908,12638.888888888889,17679.29292929293,129
rivaroxaban__mean_dose,20199.49494949495,17679.29292929293,54222.22222222222,374
disulfiram__mean_dose,199788.3899139518,30985.915492957745,346504.55927051674,58
doxazosin__mean_dose,937.5829400958178,486.95652173913044,1478.3346421238425,928
doxazosin__mean_dose,2019.0863441518673,1478.3346421238425,3010.4644645365797,853
doxazosin__mean_dose,4001.8425849212917,3010.4644645365797,5894.473542019378,721
doxazosin__mean_dose,7787.104499117465,5894.473542019378,18512.013256006627,125
olanzapine__mean_dose,2422.911516649702,1346.1538461538462,3738.9486694779703,75
olanzapine__mean_dose,5054.985822306238,3738.9486694779703,25274.102079395085,69
amlodipine__mean_dose,4983.578431372549,1617.6470588235295,7480.882352941177,8945
amlodipine__mean_dose,9978.186274509804,7480.882352941177,23333.333333333332,1345
metoclopramide__mean_dose,501607.30461038207,1265.8227848101267,1100917.4311926605,645
paracetamol__mean_dose,492135.78395047516,82736.84210526316,4392199.387844337,46514
ezetimibe__mean_dose,9968.944844124699,3237.410071942446,46666.666666666664,1510
dosulepin__mean_dose,26147.211984140282,5496.45390070922,50928.12168425755,2116
dosulepin__mean_dose,75709.03138437483,50928.12168425755,280839.89501312334,1230
fluvastatin__mean_dose,19739.316239316242,4273.504273504273,29637.4358974359,159
fluvastatin__mean_dose,39535.555555555555,29637.4358974359,128000.0,80
lamotrigine__mean_dose,27613.457631239256,6131.386861313868,619904.8374306107,100
meptazinol__mean_dose,203084.83754512636,100000.0,996389.8916967509,528
candesartan__mean_dose,3971.198786039454,1037.037037037037,6105.134603495757,864
candesartan__mean_dose,8239.070420952059,6105.134603495757,12240.200078682628,693
candesartan__mean_dose,16241.329736413198,12240.200078682628,54385.43247344461,234
procyclidine__mean_dose,5069.6100917431195,2500.0,26972.477064220184,123
atenolol__mean_dose,25409.696598222494,6000.0,37668.45234446828,2874
atenolol__mean_dose,49927.20809071406,37668.45234446828,75466.28256205945,4219
atenolol__mean_dose,101005.35703340484,75466.28256205945,210312.5957707631,284
irbesartan__mean_dose,77297.24838160136,8960.0,112731.37717206131,231
irbesartan__mean_dose,148165.50596252127,112731.37717206131,224095.78194207838,347
irbesartan__mean_dose,300026.05792163545,224095.78194207838,515161.8398637138,130
lofepramine__mean_dose,69847.98245614035,25368.42105263158,81978.77192982456,1377
lofepramine__mean_dose,94109.56140350878,81978.77192982456,294941.52046783624,108
nortriptyline__mean_dose,10051.337883654533,4458.333333333333,17508.677284082798,990
nortriptyline__mean_dose,24966.016684511065,17508.677284082798,128747.32334047109,119
enoxaparin__mean_dose,40420.5574912892,6689.895470383275,69751.56794425087,284
enoxaparin__mean_dose,99082.57839721255,69751.56794425087,300000.0,57
nicotine__mean_dose,1988.75,250.0,6161.75,316
nicotine__mean_dose,10334.75,6161.75,12769.0,577
nicotine__mean_dose,15203.25,12769.0,17985.25,763
nicotine__mean_dose,20767.25,17985.25,22853.75,600
nicotine__mean_dose,24940.25,22853.75,69800.0,94
ticagrelor__mean_dose,89060.66929133858,63000.0,127465.86614173229,69
ticagrelor__mean_dose,165871.06299212598,127465.86614173229,337322.83464566927,50
pyridoxine__mean_dose,10536.301369863013,3333.3333333333335,30087.214611872143,96
pyridoxine__mean_dose,49638.12785388128,30087.214611872143,209132.4200913242,759
nicorandil__mean_dose,10196.188575961638,5629.435935748973,14762.941216174304,494
nicorandil__mean_dose,19329.69385638697,14762.941216174304,88661.3021214338,166
trazodone__mean_dose,51570.99022259206,19565.217391304348,76190.81547742875,862
trazodone__mean_dose,100810.64073226546,76190.81547742875,125430.46598710216,229
trazodone__mean_dose,150050.29124193886,125430.46598710216,511961.7224880383,204
simvastatin__mean_dose,9553.124454529589,4117.64705882353,14988.601850235644,1373
simvastatin__mean_dose,20424.0792459417,14988.601850235644,30087.15017164136,4070
simvastatin__mean_dose,39750.22109734102,30087.15017164136,124906.03363006924,9323
zolpidem__mean_dose,4973.406374501992,1000.0,7470.97609561753,981
zolpidem__mean_dose,9968.545816733067,7470.97609561753,23705.179282868525,753
digoxin__mean_dose,62.31670692194404,24.8,93.01219440353462,128
digoxin__mean_dose,123.7076818851252,93.01219440353462,188.5092665684831,344
digoxin__mean_dose,253.31085125184097,188.5092665684831,706.9219440353461,147
buprenorphine__mean_dose,198.36041666666665,0.4166666666666667,1466.6666666666667,261
heparin__mean_dose,50.641304347826086,2.1739130434782608,200.0,56
tranexamic_acid__mean_dose,504841.01232965605,179104.4776119403,1565217.391304348,5528
phenytoin__mean_dose,102364.7076137476,24242.424242424244,649220.691213011,53
glyceryl_trinitrate__mean_dose,423.15007732755953,8.524590163934427,2722.4368697803898,7902
glyceryl_trinitrate__mean_dose,5021.72366223322,2722.4368697803898,7547.169811320755,64
codeine__mean_dose,8214.256198347106,3000.0,13428.512396694214,13825
codeine__mean_dose,18642.76859504132,13428.512396694214,23857.024793388427,3881
codeine__mean_dose,29071.280991735533,23857.024793388427,211570.2479338843,21621
dihydrocodeine__mean_dose,33211.0754985755,5121.082621082621,265956.73076923075,6496
dihydrocodeine__mean_dose,498702.38603988604,265956.73076923075,807692.3076923077,180
triamterene__mean_dose,24924.381796831123,14538.198403648803,53731.34328358209,81
chlordiazepoxide__mean_dose,4795.272435897436,1282.051282051282,7371.634615384614,369
chlordiazepoxide__mean_dose,9947.996794871793,7371.634615384614,48125.0,214
clonazepam__mean_dose,483.44496741491673,147.05882352941177,5322.2302679217955,416
indapamide__mean_dose,1474.4736842105265,789.4736842105264,1979.2105263157896,467
indapamide__mean_dose,2483.9473684210525,1979.2105263157896,8000.0,1047
chloral_hydrate__mean_dose,697447.5903808909,143300.0,2606178.179470626,56
sotalol__mean_dose,39033.81950557948,22757.619738751815,59748.98284517833,162
sotalol__mean_dose,80464.14618477719,59748.98284517833,318688.52459016396,75
adrenaline__mean_dose,44444.67569444444,0.25,121481.68023148147,61
adrenaline__mean_dose,198518.6847685185,121481.68023148147,299259.38300925924,341
adrenaline__mean_dose,400000.08125,299259.38300925924,592592.5925925926,313
dipyridamole__mean_dose,200375.93984962403,21052.63157894737,291729.32330827066,281
dipyridamole__mean_dose,383082.70676691725,291729.32330827066,697744.3609022556,73
hyoscine__mean_dose,1021.0627645867844,133.33333333333334,5459.70992085404,349
hyoscine__mean_dose,9898.357077121296,5459.70992085404,14928.823854224185,8720
hyoscine__mean_dose,19959.290631327072,14928.823854224185,59315.29541689674,276
clomethiazole__mean_dose,191591.25358429528,128955.22388059701,1520866.9950738917,62
prasugrel__mean_dose,10042.229750538958,4691.09947643979,19764.70588235294,52
lormetazepam__mean_dose,504.51736545682104,257.3529411764706,751.6817897371714,105
lormetazepam__mean_dose,998.8462140175218,751.6817897371714,1755.3191489361702,141
enalapril__mean_dose,5133.980632269304,689.6551724137931,7527.078956806887,454
enalapril__mean_dose,9920.17728134447,7527.078956806887,15048.245119639289,285
enalapril__mean_dose,20176.312957934108,15048.245119639289,69063.89301634472,144
diltiazem__mean_dose,59058.10123214286,1.025,90858.06535714286,135
diltiazem__mean_dose,122658.02948214285,90858.06535714286,149915.1415892857,294
diltiazem__mean_dose,177172.25369642855,149915.1415892857,208972.21782142855,267
diltiazem__mean_dose,240772.18194642855,208972.21782142855,908571.4285714285,164
carbamazepine__mean_dose,108096.74383587428,28985.507246376812,152047.43083003955,1427
carbamazepine__mean_dose,195998.1178242048,152047.43083003955,1787012.987012987,379
trifluoperazine__mean_dose,1053.6043123543122,606.060606060606,30442.30769230769,207
naftidrofuryl__mean_dose,102302.08084598329,78321.67832167832,611219.512195122,204
